일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-03,43350,45850,40350,44300,416292,5.100830367734282,6472.0,-1227.0,-32114.0,26869.0,0.0,6309.0,1.1200000047683716,95115.0,0.6700000166893005
2026-02-02,39000,46600,38900,42150,1138065,6.70886075949367,39677.0,4548.0,-132834.0,88609.0,0.0,2586.0,0.1599999964237213,95115.0,0.6700000166893005
2026-01-30,30000,39500,29400,39500,1004102,29.93421052631579,176496.0,5384.0,-217298.0,35418.0,0.0,1723.0,0.11999999731779099,95115.0,0.6700000166893005
2026-01-29,28250,31250,27800,30400,467821,10.144927536231885,101486.0,-179.0,-72259.0,-29048.0,0.0,797.0,0.11999999731779099,120154.0,0.8399999737739563
2026-01-28,28200,29300,27450,27600,204886,-2.127659574468085,-11436.0,-127.0,-12620.0,24183.0,0.0,3810.0,1.350000023841858,140551.0,0.9900000095367432
2026-01-27,27700,28600,26300,28200,277184,0.0,94867.0,-3823.0,-24766.0,-66278.0,0.0,11026.0,3.0199999809265137,142262.0,1.0
2026-01-26,25950,28600,25600,28200,438950,13.026052104208416,93387.0,2132.0,-26724.0,-68795.0,0.0,10879.0,1.6799999475479126,141131.0,0.9900000095367432
2026-01-23,23900,25350,23000,24950,300685,2.2540983606557377,59899.0,-2281.0,20507.0,-78125.0,0.0,14556.0,3.660000085830689,147418.0,1.0399999618530271
2026-01-22,22600,25400,21200,24400,613602,9.417040358744394,24245.0,3544.0,47627.0,-75416.0,0.0,18310.0,2.0999999046325684,141093.0,0.9900000095367432
2026-01-21,22100,22300,21250,22300,250519,-0.6681514476614699,26306.0,-1312.0,-38588.0,13594.0,0.0,23550.0,6.949999809265137,143357.0,1.0099999904632568
2026-01-20,22200,22900,22000,22450,769147,-0.8830022075055187,62096.0,-665547.0,-19754.0,623205.0,0.0,2938.0,0.3600000143051147,140498.0,0.9900000095367432
2026-01-19,23650,23650,22500,22650,91307,-3.205128205128205,-10028.0,3691.0,-5422.0,11759.0,0.0,2860.0,2.380000114440918,151782.0,1.0700000524520874
2026-01-16,23050,23500,22000,23400,183935,0.6451612903225806,-14432.0,5224.0,-3589.0,12797.0,0.0,1752.0,0.7200000286102295,155295.0,1.090000033378601
2026-01-15,23700,23800,22850,23250,94882,0.8676789587852495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,24000,24000,22700,23050,94367,-2.536997885835095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,24000,24250,23150,23650,210311,-0.8385744234800839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,24850,25250,23400,23850,210206,-5.544554455445545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,25850,26600,25200,25250,224649,-3.4416826003824093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,26500,26700,25300,26150,157683,0.9652509652509652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,27000,27200,24500,25900,249672,-4.074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,28200,28600,26000,27000,226137,3.0534351145038165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,26400,26800,25600,26200,190462,-1.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,27400,27800,25650,26500,408609,-3.985507246376811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,30200,31125,26850,27600,563025,-8.305647840531561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,29800,30800,28900,30100,137097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,30100,30450,29100,30100,135076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,29650,30650,28750,30100,232186,1.6891891891891893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,30650,30850,28900,29600,336880,-2.31023102310231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,31200,31800,29400,30300,372923,-3.5031847133757963,-70519.0,38918.0,-1522.0,33123.0,0.0,18687.0,5.010000228881836,168726.0,1.25
2025-12-19,33500,33600,28800,31400,1227498,-7.100591715976331,-72768.0,63268.0,-39386.0,48886.0,0.0,50132.0,4.079999923706055,172643.0,1.2799999713897705
2025-12-18,33450,35100,32200,33800,406795,-1.0248901903367496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,32700,34850,32700,34150,459932,5.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,32000,34200,31200,32500,931409,-0.3067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,32100,35300,32100,32600,426355,-2.5411061285500747,20490.0,-4739.0,-8565.0,-7186.0,0.0,7390.0,1.7300000190734863,181049.0,1.340000033378601
2025-12-12,32700,34000,31400,33450,483768,2.607361963190184,222548.0,230.0,-63676.0,-159102.0,0.0,5612.0,1.159999966621399,182418.0,1.350000023841858
2025-12-11,32700,34000,32000,32600,467176,-0.1531393568147014,69508.0,2238.0,3899.0,-75645.0,0.0,1192.0,0.2599999904632568,197757.0,1.4600000381469729
2025-12-10,29150,32900,28000,32650,853859,13.368055555555555,48241.0,-19684.0,-94822.0,66265.0,0.0,1370.0,0.1599999964237213,203123.0,1.5
2025-12-09,26550,29550,26200,28800,940091,11.627906976744184,-54636.0,-8979.0,-75360.0,138975.0,0.0,24477.0,2.5999999046325684,213176.0,1.5800000429153442
2025-12-08,28100,28200,25100,25800,461841,-8.51063829787234,-214547.0,-3504.0,172521.0,45530.0,0.0,161.0,0.0299999993294477,201652.0,1.4900000095367432
2025-12-05,28400,28500,26300,28200,388408,0.1776198934280639,4940.0,-5085.0,-11625.0,11770.0,0.0,1103.0,0.2800000011920929,208167.0,1.5399999618530271
2025-12-04,29200,29200,27700,28150,322437,-3.7606837606837606,-36214.0,31486.0,8066.0,-3338.0,0.0,62.0,0.0199999995529651,223743.0,1.649999976158142
2025-12-03,30500,31000,29100,29250,314489,0.8620689655172413,-7573.0,2235.0,20154.0,-14816.0,0.0,374.0,0.1199999973177909,226921.0,1.6799999475479126
2025-12-02,28100,29600,27300,29000,276257,-0.1721170395869191,11235.0,7557.0,-11186.0,-7606.0,0.0,131.0,0.050000000745058,247936.0,1.830000042915344
2025-12-01,30250,31400,28900,29050,256256,-6.290322580645161,-29759.0,-2495.0,60339.0,-28085.0,0.0,191.0,0.0700000002980232,256638.0,1.899999976158142
2025-11-28,28600,31550,27500,31000,501335,7.26643598615917,54345.0,35940.0,-61671.0,-28614.0,0.0,30.0,0.0099999997764825,250215.0,1.850000023841858
2025-11-27,27900,30650,27600,28900,360566,0.1733102253032928,-22887.0,24770.0,15834.0,-17717.0,0.0,23.0,0.0099999997764825,247955.0,1.830000042915344
2025-11-26,30750,30750,26000,28850,1304033,-7.234726688102894,11114.0,815.0,48174.0,-60103.0,0.0,1216.0,0.0900000035762786,242377.0,1.7899999618530271
2025-11-25,34250,35950,28150,31100,1445289,-11.269614835948644,-55128.0,-572025.0,183253.0,443900.0,0.0,22644.0,1.5700000524520874,296940.0,2.200000047683716
2025-11-24,35050,35550,32400,35050,435511,0.8633093525179856,30287.0,39536.0,1029.0,-70852.0,0.0,31725.0,7.28000020980835,295677.0,2.190000057220459
2025-11-21,33950,38000,33500,34750,665393,-0.5722460658082975,29443.0,-431.0,-62992.0,33980.0,0.0,2938.0,0.4399999976158142,271281.0,2.009999990463257
2025-11-20,34450,35500,32000,34950,337670,1.5988372093023258,54263.0,554.0,-7536.0,-47281.0,0.0,11777.0,3.490000009536743,275048.0,2.0299999713897705
2025-11-19,32400,35250,30700,34400,574163,6.832298136645963,61793.0,-632.0,-24173.0,-36988.0,0.0,51894.0,9.039999961853027,259960.0,1.919999957084656
2025-11-18,34150,34750,31950,32200,417120,-7.868383404864092,5490.0,4370.0,58714.0,-68574.0,0.0,8504.0,2.039999961853028,223605.0,1.649999976158142
2025-11-17,29500,34950,29250,34950,1023966,20.93425605536332,46990.0,9925.0,-210919.0,154004.0,0.0,13400.0,1.309999942779541,234448.0,1.7300000190734863
2025-11-14,29900,30300,28400,28900,247219,-5.090311986863712,1052.0,-3614.0,26906.0,-24344.0,0.0,5718.0,2.309999942779541,254837.0,1.8799999952316284
2025-11-13,30700,31400,29150,30450,274409,0.8278145695364238,-3186.0,5636.0,-32748.0,30298.0,0.0,4272.0,1.559999942779541,247401.0,1.830000042915344
2025-11-12,30800,32100,29250,30200,369388,-0.9836065573770492,34762.0,4950.0,-31854.0,-7858.0,0.0,3619.0,0.9800000190734864,245164.0,1.809999942779541
2025-11-11,30750,32400,30250,30500,448411,-0.1636661211129296,57701.0,5394.0,-50818.0,-12277.0,0.0,4012.0,0.8899999856948853,245175.0,1.809999942779541
2025-11-10,28700,30850,27450,30550,451754,5.344827586206897,32362.0,1551.0,-21041.0,-12872.0,0.0,5752.0,1.2699999809265137,242731.0,1.7899999618530271
2025-11-07,29100,30800,28500,29000,478662,-2.1922428330522767,12908.0,3486.0,-16475.0,81.0,0.0,7435.0,1.5499999523162842,241506.0,1.7899999618530271
2025-11-06,30050,31350,28100,29650,749751,-3.104575163398693,59027.0,30138.0,-23456.0,-65709.0,0.0,16959.0,2.259999990463257,237768.0,1.7599999904632568
2025-11-05,29100,30900,26400,30600,1052058,9.285714285714286,75649.0,-8213.0,-38038.0,-29398.0,0.0,20086.0,1.909999966621399,228206.0,1.690000057220459
