일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-03,234000,235000,228500,229000,46364,-1.293103448275862,1792,-433,17,-1376,0,5067.0,9.65999984741211,1770.0,0.009999999776482582
2025-12-02,239000,239000,230500,232000,70603,-1.694915254237288,5973,41,5228,-11242,0,7774.0,10.130000114440918,1770.0,0.009999999776482582
2025-12-01,231500,240500,230000,236000,93345,3.282275711159737,11056,117,-19237,8064,0,8765.0,8.079999923706055,1770.0,0.009999999776482582
2025-11-28,223000,231500,222500,228500,55889,3.8636363636363633,10907,776,-8575,-3108,0,5603.0,8.260000228881836,0.0,0.0
2025-11-27,220500,222500,216500,220000,24694,0.22779043280182232,-4518,1,-76,4593,0,3155.0,10.609999656677246,0.0,0.0
2025-11-26,215500,221500,215500,219500,37692,1.8561484918793503,-7284,1,-7110,14393,0,3288.0,7.420000076293945,0.0,0.0
2025-11-25,223000,223000,214500,215500,44829,-2.48868778280543,-521,-111,-4106,4738,0,5680.0,9.449999809265137,0.0,0.0
2025-11-24,228000,228500,219000,221000,59509,-1.7777777777777777,-4362,-1144,-3178,8684,0,4650.0,6.949999809265137,0.0,0.0
2025-11-21,229000,232500,223500,225000,38746,-3.640256959314775,-5007,-534,5223,318,0,4285.0,9.56999969482422,0.0,0.0
2025-11-20,228500,235500,227500,233500,46966,3.547671840354768,961,106,3186,-4253,0,4826.0,8.970000267028809,0.0,0.0
2025-11-19,231500,233000,225500,225500,69831,-2.380952380952381,-510,-523,7658,-6625,0,18456.0,24.049999237060547,0.0,0.0
2025-11-18,235500,236000,229000,231000,42357,-1.702127659574468,-2282,-464,-373,3119,0,7240.0,13.420000076293944,0.0,0.0
2025-11-17,241000,243000,233000,235000,64711,-1.4675052410901468,-25636,-154,6213,19577,0,4603.0,5.929999828338623,0.0,0.0
2025-11-14,237000,247500,231500,238500,105831,0.0,3032,102,-13457,10323,0,3416.0,2.609999895095825,0.0,0.0
2025-11-13,225500,240000,224000,238500,135131,6.0,4057,-279,-22610,18832,0,8583.0,5.300000190734863,0.0,0.0
2025-11-12,225000,226500,221000,225000,59961,1.1235955056179776,-19471,102,2437,16932,0,2225.0,3.059999942779541,0.0,0.0
2025-11-11,219500,225500,218000,222500,70119,1.5981735159817352,6857,-1383,-10726,5252,0,9821.0,11.369999885559082,1328.0,0.0099999997764825
2025-11-10,214500,220000,209500,219000,73322,2.336448598130841,-19012,436,2143,16433,0,5759.0,6.46999979019165,1328.0,0.0099999997764825
2025-11-07,210500,218500,208500,214000,151031,-1.6091954022988506,-38152,-726,1279,37599,0,8391.0,4.800000190734863,1328.0,0.0099999997764825
2025-11-06,231000,231500,215500,217500,183947,-4.814004376367615,-57058,860,37612,18586,0,27446.0,12.520000457763672,1588.0,0.0099999997764825
2025-11-05,238500,239000,221000,228500,248068,-3.1779661016949152,-108036,-1514,22575,86975,0,27625.0,9.489999771118164,0.0,0.0
2025-11-04,264000,271500,232500,236000,254541,-10.26615969581749,-24166,235,54132,-30201,0,16369.0,4.53000020980835,1310.0,0.0099999997764825
2025-11-03,267500,271000,260000,263000,66233,0.381679389312977,-2374,-14,8251,-5863,0,2838.0,3.319999933242798,1433.0,0.0099999997764825
2025-10-31,264500,265000,261000,262000,40346,0.1912045889101338,-5044,182,18,4844,0,2057.0,4.260000228881836,1288.0,0.0099999997764825
2025-10-30,264000,267500,260500,261500,40070,-0.1908396946564885,-4153,305,5519,-1671,0,5354.0,10.220000267028809,3192.0,0.0299999993294477
2025-10-29,271500,272500,260000,262000,64735,-2.4208566108007448,-12409,548,10646,1215,0,3029.0,3.920000076293945,3012.0,0.0199999995529651
2025-10-28,263000,271000,261000,268500,57171,2.480916030534351,12356,-18,-6031,-6307,0,2867.0,3.940000057220459,1434.0,0.0099999997764825
2025-10-27,263500,264000,258500,262000,82809,-0.5692599620493358,-9480,-141,18770,-9149,0,5269.0,5.289999961853027,3217.0,0.0299999993294477
2025-10-24,268000,268500,259500,263500,74372,-0.7532956685499058,-6971,757,15409,-9195,0,2379.0,2.7799999713897705,3434.0,0.0299999993294477
2025-10-23,260000,274500,260000,265500,94905,1.1428571428571428,1810,438,5359,-7607,0,2669.0,2.3499999046325684,3436.0,0.0299999993294477
2025-10-22,263000,263000,257500,262500,43621,-0.3795066413662239,-9483,48,3771,5664,0,1775.0,3.490000009536743,5166.0,0.0399999991059303
2025-10-21,263500,263500,257500,263500,104197,0.9578544061302682,-1634,750,-235,1119,0,2890.0,2.470000028610229,4972.0,0.0399999991059303
2025-10-20,260000,266000,258500,261000,65469,0.7722007722007722,-25593,75,9061,16457,0,1159.0,1.4900000095367432,6514.0,0.050000000745058
2025-10-17,266500,269000,258500,259000,112587,-4.074074074074074,-57695,-1247,15779,43163,0,3026.0,2.390000104904175,6562.0,0.050000000745058
2025-10-16,271000,272500,266000,270000,50908,-0.9174311926605504,2560,76,-2950,314,0,4254.0,7.199999809265137,7211.0,0.0599999986588954
2025-10-15,265500,272500,262000,272500,146761,2.443609022556391,-17347,4733,53037,-40423,0,7024.0,4.429999828338623,7252.0,0.0599999986588954
2025-10-14,265500,268000,260000,266000,137739,-0.7462686567164178,-23766,1239,5714,16813,0,11358.0,7.289999961853027,7130.0,0.0599999986588954
2025-10-13,265500,273000,265500,268000,114750,-2.5454545454545454,-8681,175,6315,2191,0,10037.0,7.889999866485596,4846.0,0.0399999991059303
2025-10-10,281000,283000,271000,275000,143951,-3.677758318739054,-22464,1068,16107,5289,0,7724.0,4.78000020980835,7775.0,0.0599999986588954
2025-10-02,297000,299000,285500,285500,97288,-4.033613445378151,-28000,334,27043,623,0,6193.0,5.460000038146973,11404.0,0.0
2025-10-01,298500,303000,295500,297500,72058,-1.490066225165563,-4536,261,15714,-11439,0,5881.0,7.42,7459.0,0.0
2025-09-30,300000,302500,294000,302000,36033,1.6835016835016834,-6390,1744,8735,-4089,0,3590.0,8.36,4251.0,0.0
2025-09-29,294000,299000,288000,297000,45028,0.8488964346349746,10679,2,-6014,-4667,0,3742.0,7.46,4271.0,0.0
2025-09-26,294500,295000,289000,294500,43189,-0.338409475465313,-8704,-360,-667,9731,0,4003.0,7.71,5287.0,0.0
2025-09-25,303000,305000,295000,295500,62239,-3.7459283387622153,-9741,-2202,21393,-9450,0,3934.0,5.31,5287.0,0.0
2025-09-24,305000,308000,303000,307000,34015,0.326797385620915,-888,49,260,579,0,1601.0,3.95,3477.0,0.0
2025-09-23,310500,312000,304000,306000,51341,-1.4492753623188406,-14295,-368,4642,10021,0,801.0,1.36,6271.0,0.0
2025-09-22,313500,313500,304500,310500,73652,-0.9569377990430622,-3519,-412,-345,4276,0,1250.0,1.49,6396.0,0.0
2025-09-19,310000,315000,306500,313500,54688,0.1597444089456869,5222,1853,517,-7592,0,3132.0,4.94,6414.0,0.0
2025-09-18,308000,313000,304500,313000,69812,2.287581699346405,13708,1164,-922,-13950,0,8647.0,10.29,6439.0,0.0
