일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-05,61600,63500,60400,62100,455004,-0.4807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,60300,63800,60300,62400,375765,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,63500,63700,60800,61100,334019,-1.132686084142395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,62200,62700,60900,61800,336719,-1.2779552715654952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,64400,64400,61600,62600,434836,-2.945736434108527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,64000,67000,63500,64500,453643,1.574803149606299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,67100,67500,60400,63500,1035728,-5.223880597014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,68700,68900,65800,67000,525345,-2.898550724637681,-33536.0,2962.0,-25894.0,56468.0,0.0,37314.0,5.090000152587891,934060.0,3.7899999618530273
2025-12-19,69300,71500,68200,69000,449215,-0.5763688760806917,-12206.0,-5459.0,18912.0,-1247.0,0.0,46629.0,6.880000114440918,980182.0,3.9800000190734863
2025-12-18,64900,70800,64400,69400,664920,4.0479760119940025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,72500,73100,66300,66700,797737,-8.253094910591471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,70600,74500,68800,72700,1553822,6.286549707602338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,66100,70500,65700,68400,623133,1.7857142857142856,-5704.0,7386.0,-1275.0,-407.0,0.0,27459.0,2.890000104904175,908569.0,3.690000057220459
2025-12-12,65100,68500,63300,67200,854084,1.3574660633484164,162600.0,7423.0,-175045.0,5022.0,0.0,44627.0,3.0199999809265137,918507.0,3.7300000190734863
2025-12-11,69800,69900,66000,66300,684045,-1.3392857142857142,-42013.0,3569.0,84255.0,-45811.0,0.0,50055.0,4.139999866485596,920948.0,3.740000009536743
2025-12-10,66700,68900,64600,67200,861917,0.9009009009009008,64468.0,-526.0,-33657.0,-30285.0,0.0,48900.0,2.890000104904175,890185.0,3.619999885559082
2025-12-09,78800,80000,66400,66600,3188948,-0.7451564828614009,-94475.0,-1407.0,87837.0,8045.0,0.0,29950.0,0.4600000083446502,876022.0,3.559999942779541
2025-12-08,67800,69400,65800,67100,484215,-2.4709302325581395,-14157.0,553.0,42522.0,-28918.0,0.0,10227.0,1.1100000143051147,856598.0,3.4800000190734863
2025-12-05,68200,70400,65000,68800,1276838,5.038167938931298,162653.0,-11682.0,-87014.0,-63957.0,0.0,28541.0,1.2100000381469729,846208.0,3.440000057220459
2025-12-04,59200,67000,58100,65500,1111093,8.085808580858085,4913.0,-13090.0,4417.0,3760.0,0.0,29814.0,1.350000023841858,839557.0,3.4100000858306885
2025-12-03,62800,63000,60200,60600,426430,-4.113924050632911,-16109.0,-1040.0,52189.0,-35040.0,0.0,27250.0,3.2699999809265137,837369.0,3.400000095367432
2025-12-02,60700,63600,59100,63200,635437,2.7642276422764227,11200.0,8980.0,3342.0,-23522.0,0.0,20915.0,1.75,802201.0,3.259999990463257
2025-12-01,60400,63000,59500,61500,1191532,6.0344827586206895,45874.0,-1794.0,-5379.0,-38701.0,0.0,25181.0,1.0800000429153442,776849.0,3.1600000858306885
2025-11-28,54100,58700,53500,58000,849643,8.007448789571695,72786.0,-4651.0,-263075.0,194940.0,0.0,7749.0,0.4900000095367431,806038.0,3.2699999809265137
2025-11-27,54100,56100,53000,53700,369606,-0.1858736059479553,10854.0,-6648.0,15339.0,-19545.0,0.0,18157.0,2.7699999809265137,928507.0,3.7699999809265137
2025-11-26,54700,54800,52600,53800,302247,0.5607476635514018,12684.0,2674.0,17475.0,-32833.0,0.0,22540.0,4.309999942779541,908423.0,3.690000057220459
2025-11-25,52100,55200,51800,53500,428665,3.883495145631068,-935.0,10033.0,-49279.0,40181.0,0.0,19941.0,2.690000057220459,872273.0,3.539999961853028
2025-11-24,53200,53600,51000,51500,257544,-2.091254752851711,21961.0,-953.0,3662.0,-24670.0,0.0,23273.0,5.190000057220459,892326.0,3.619999885559082
2025-11-21,52700,53450,51900,52600,281100,-4.710144927536232,-9438.0,692.0,45712.0,-36966.0,0.0,21527.0,4.199999809265137,884811.0,3.5899999141693115
2025-11-20,54100,55500,53300,55200,353019,1.098901098901099,9539.0,5757.0,-14203.0,-1093.0,0.0,28561.0,4.309999942779541,863847.0,3.509999990463257
2025-11-19,56000,56300,52400,54600,691822,-4.545454545454546,41402.0,2659.0,-23286.0,-20775.0,0.0,62181.0,5.070000171661377,881366.0,3.5799999237060547
2025-11-18,56400,58000,55100,57200,769898,1.5985790408525755,31833.0,2893.0,29651.0,-64377.0,0.0,36941.0,2.759999990463257,837568.0,3.400000095367432
2025-11-17,53400,58300,52200,56300,1411193,11.706349206349206,67456.0,-1862.0,-160350.0,94756.0,0.0,30498.0,1.1799999475479126,792647.0,3.220000028610229
2025-11-14,48900,50700,48450,50400,351986,1.7154389505549947,20223.0,1167.0,-6845.0,-14545.0,0.0,5124.0,0.8899999856948853,829607.0,3.369999885559082
2025-11-13,50700,52600,49050,49550,534366,-1.294820717131474,4237.0,1309.0,18921.0,-24467.0,0.0,15878.0,1.7699999809265137,825230.0,3.3499999046325684
2025-11-12,50600,51000,48600,50200,342202,0.5005005005005005,-26947.0,145.0,48874.0,-22072.0,0.0,12963.0,2.0999999046325684,789404.0,3.2100000381469727
2025-11-11,52700,53000,49750,49950,382720,-3.757225433526012,-10056.0,-4761.0,31349.0,-16532.0,0.0,10891.0,1.5800000429153442,765839.0,3.109999895095825
2025-11-10,51900,52800,50700,51900,167685,2.1653543307086616,12263.0,235.0,9774.0,-22272.0,0.0,6172.0,2.0899999141693115,760550.0,3.0899999141693115
2025-11-07,50600,52000,49700,50800,363298,-3.0534351145038165,27864.0,-795.0,17693.0,-44762.0,0.0,9848.0,1.6200000047683716,726797.0,2.950000047683716
2025-11-06,57600,58500,52100,52400,685401,-9.81067125645439,14031.0,296.0,93060.0,-107387.0,0.0,18760.0,1.5700000524520874,699232.0,2.8399999141693115
2025-11-05,59700,60500,54700,58100,915172,0.8680555555555556,16931.0,5707.0,174994.0,-197632.0,0.0,35389.0,2.059999942779541,584079.0,2.369999885559082
2025-11-04,54100,59100,53500,57600,1381364,6.077348066298343,83065.0,-689.0,-116294.0,33918.0,0.0,51525.0,2.009999990463257,474735.0,1.9299999475479128
2025-11-03,53500,54400,51800,54300,368617,2.840909090909091,7038.0,8255.0,-30546.0,15253.0,0.0,18583.0,2.690000057220459,490134.0,1.9900000095367432
2025-10-31,54000,54600,52000,52800,353327,-1.3084112149532712,13305.0,-1972.0,54609.0,-65942.0,0.0,28629.0,4.71999979019165,490376.0,1.9900000095367432
2025-10-30,52700,55500,51800,53500,586532,1.9047619047619049,49406.0,2120.0,-24221.0,-27305.0,0.0,18720.0,1.7699999809265137,472644.0,1.919999957084656
