일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-11-28,447500,487500,447500,470000,222055,6.214689265536723,117577,991,-54171,-64397,0,8143.0,2.869999885559082,14065.0,0.14000000059604645
2025-11-27,422500,449500,421500,442500,98607,5.357142857142857,26401,901,-24296,-3006,0,2300.0,1.7999999523162842,14065.0,0.14000000059604645
2025-11-26,407500,423500,403500,420000,108155,3.067484662576687,4982,151,-22417,17284,0,7159.0,5.329999923706055,14065.0,0.14000000059604645
2025-11-25,422500,424000,402000,407500,164743,-2.511961722488038,-10903,611,2123,8169,0,15683.0,7.329999923706055,16418.0,0.1599999964237213
2025-11-24,468500,469000,417500,418000,198214,-9.327548806941431,2935,506,47894,-51335,0,7123.0,2.690000057220459,16930.0,0.1599999964237213
2025-11-21,466500,474000,458500,461000,78320,-3.3542976939203357,16277,-372,17193,-33098,0,1521.0,1.559999942779541,17572.0,0.17000000178813934
2025-11-20,447500,496000,444500,477000,186090,6.7114093959731544,42486,1813,-24496,-19803,0,7464.0,2.930000066757202,18706.0,0.18000000715255737
2025-11-19,455500,456500,440000,447000,59705,-0.776914539400666,4167,-1878,208,-2497,0,1625.0,2.259999990463257,30405.0,0.28999999165534973
2025-11-18,471000,472000,449500,450500,144278,-2.0652173913043477,25069,-1864,21312,-44517,0,3334.0,1.9299999475479126,30242.0,0.28999999165534973
2025-11-17,464000,481000,455000,460000,157908,1.7699115044247788,15184,-1158,-2423,-11603,0,3210.0,1.5800000429153442,31333.0,0.3000000119209289
2025-11-14,441000,479000,437000,452000,168789,0.8928571428571428,15100,-685,16530,-30945,0,4960.0,2.190000057220459,31902.0,0.3100000023841858
2025-11-13,438500,472000,436000,448000,243303,3.1070195627157653,14090,940,-7521,-7509,0,3819.0,1.190000057220459,30800.0,0.3000000119209289
2025-11-12,444000,456000,410000,434500,404982,-1.25,-98333,-350,45326,53357,0,12370.0,2.299999952316284,29542.0,0.2800000011920929
2025-11-11,509000,528000,434000,440000,389128,-11.200807265388496,-39081,1337,53167,-15423,0,15109.0,2.8299999237060547,20424.0,0.2000000029802322
2025-11-10,485500,502000,457000,495500,149139,1.4329580348004094,-42787,-1229,11998,32018,0,3570.0,1.7699999809265137,17887.0,0.1700000017881393
2025-11-07,493500,505000,480500,488500,77417,-1.1133603238866396,-13721,442,-4397,17676,0,2393.0,2.5299999713897705,16439.0,0.1599999964237213
2025-11-06,517000,520000,480000,494000,139487,-2.755905511811024,-35974,-249,-4061,40284,0,1772.0,1.0,16882.0,0.1599999964237213
2025-11-05,527000,527000,499500,508000,101962,-4.868913857677903,-22377,-2699,11325,13751,0,2357.0,1.7599999904632568,16579.0,0.1599999964237213
