일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-07,119800,120600,116200,116900,75961,-1.929530201342282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,121900,123000,118700,119200,66660,-2.2149302707136997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,120000,123700,116200,121900,112876,-0.8136696501220505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,129600,129700,119100,122900,176505,-5.534204458109147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,125900,130500,123000,130100,110528,2.602523659305994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,116200,131700,116200,126800,280450,8.006814310051109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,119200,119700,112000,117400,238149,-1.3445378151260503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,119500,122500,116400,119000,177471,0.591715976331361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,117100,119700,115500,118300,112264,0.5952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,116900,119700,114800,117600,164161,0.684931506849315,7218.0,-5094.0,-15316.0,13192.0,0.0,189.0,0.1199999973177909,5451.0,0.0399999991059303
2025-12-19,118500,119600,113900,116800,152850,-1.4345991561181437,12904.0,124.0,8258.0,-21286.0,0.0,2018.0,1.3200000524520874,5521.0,0.0399999991059303
2025-12-18,116400,121900,112000,118500,164802,3.2229965156794425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,119400,120000,112200,114800,109142,-2.297872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,115400,119500,112200,117500,286014,1.819757365684576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,112500,118500,111000,115400,171623,2.033598585322723,-3280.0,-4918.0,3099.0,5099.0,0.0,1572.0,0.9200000166893004,5492.0,0.0399999991059303
2025-12-12,116200,120500,111500,113100,222940,-3.908241291418862,25897.0,2441.0,-22573.0,-5765.0,0.0,5554.0,2.490000009536743,5416.0,0.0399999991059303
