일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-25,55300,55700,54200,55000,30286,0.0,-563,-630,4471,-3278,0,2175.0,4.269999980926514,40469.0,0.5
2026-02-24,54100,56100,54100,55000,34877,0.5484460694698354,2878,-133,-5006,2261,0,2090.0,4.019999980926514,40469.0,0.5
2026-02-23,55000,55400,54500,54700,36445,-0.18248175182481752,-1415,-1355,2901,-131,0,571.0,1.0,40469.0,0.5
2026-02-20,54700,55100,54000,54800,27220,-1.083032490974729,-1150,274,6834,-5958,0,2094.0,4.449999809265137,44291.0,0.5400000214576721
2026-02-19,54600,55900,54000,55400,39705,2.214022140221402,-937,-277,-9161,10375,0,1625.0,2.5,44408.0,0.550000011920929
2026-02-13,55000,55500,53600,54200,50621,-2.517985611510792,-4456,-10301,7850,6907,0,2329.0,3.3399999141693115,47811.0,0.5899999737739563
2026-02-12,55200,56300,53500,55600,45227,0.9074410163339384,-8237,1619,4567,2051,0,1821.0,2.690000057220459,47814.0,0.5899999737739563
2026-02-11,55500,57700,54400,55100,66068,-0.5415162454873645,5922,-729,-3384,-1809,0,2114.0,2.0999999046325684,48747.0,0.6000000238418579
2026-02-10,53000,55400,53000,55400,47375,4.725897920604915,5699,50,-10482,4733,0,3360.0,4.96999979019165,45423.0,0.5600000023841858
2026-02-09,52500,53000,51600,52900,24224,2.123552123552124,-1059,-109,-1677,2845,0,995.0,2.539999961853028,45210.0,0.5600000023841858
2026-02-06,51500,52000,49600,51800,47239,-0.7662835249042145,214,-223,-7956,7965,0,768.0,1.1299999952316284,46808.0,0.5799999833106995
2026-02-05,53300,53500,52000,52200,36825,-3.153988868274583,106,10,-6757,6641,0,175.0,0.3000000119209289,47558.0,0.5899999737739563
2026-02-04,52900,54000,52300,53900,38064,1.5065913370998116,2503,-1251,-6392,5140,0,2229.0,3.930000066757202,50503.0,0.6200000047683716
2026-02-03,55300,55500,51700,53100,75309,-2.029520295202952,-2159,-732,5992,-3101,0,5179.0,4.650000095367432,53067.0,0.6499999761581421
2026-02-02,55500,56700,53100,54200,108642,-1.4545454545454546,8968,1440,141,-10549,0,6346.0,3.940000057220459,48861.0,0.6000000238418579
2026-01-30,53500,56500,53100,55000,136344,5.162523900573614,22061,2498,-26752,2193,0,7765.0,3.859999895095825,46528.0,0.5699999928474426
2026-01-29,50400,52400,49450,52300,105374,5.763397371081901,-7450,4852,1381,1217,0,3114.0,1.9700000286102293,43158.0,0.5299999713897705
2026-01-28,49300,50400,49150,49450,40885,0.7128309572301426,-1765,3476,-2507,796,0,2512.0,3.900000095367432,45785.0,0.5600000023841858
2026-01-27,49450,50100,47800,49100,24180,-0.4056795131845842,-1009,-925,2111,-177,0,919.0,2.3499999046325684,50674.0,0.6200000047683716
2026-01-26,49850,50000,47100,49300,54009,1.024590163934426,-872,220,5569,-4917,0,2942.0,3.759999990463257,53043.0,0.6499999761581421
2026-01-23,44850,49300,44450,48800,99605,11.035267349260524,1179,872,-28316,26265,0,4687.0,3.109999895095825,56813.0,0.699999988079071
2026-01-22,43300,44100,43200,43950,22023,0.9184845005740528,-5221,-50,-3383,8654,0,1895.0,6.300000190734863,72697.0,0.8899999856948853
2026-01-21,43800,43800,43100,43550,24068,-2.134831460674157,-635,-200,6490,-5655,0,4126.0,12.270000457763672,76461.0,0.9399999976158142
2026-01-20,43300,44600,43300,44500,18909,2.1814006888633752,-844,2,335,507,0,2027.0,7.449999809265137,73467.0,0.8999999761581421
2026-01-19,44150,44150,43350,43550,20108,-0.7972665148063782,34,400,442,-876,0,3343.0,11.56999969482422,75453.0,0.9300000071525574
2026-01-16,44250,44600,43250,43900,28869,-0.2272727272727272,7680,-391,-321,-6968,0,3792.0,9.979999542236328,74490.0,0.9200000166893004
2026-01-15,44500,44700,43800,44000,30383,-1.7857142857142856,-6096,171,8975,-3050,0,3316.0,7.570000171661377,69542.0,0.8600000143051147
2026-01-14,45100,45100,44300,44800,23790,-0.5549389567147613,-233,-509,4187,-3445,0,3663.0,10.65999984741211,63386.0,0.7799999713897705
2026-01-13,45050,45800,44850,45050,21076,-0.88008800880088,-626,3,4911,-4288,0,3375.0,11.130000114440918,59958.0,0.7400000095367432
2026-01-12,45600,45800,44900,45450,25049,-0.3289473684210526,253,-1722,2250,-781,0,2945.0,8.279999732971191,56770.0,0.699999988079071
2026-01-09,45700,46000,45450,45600,12211,0.2197802197802197,-1789,0,-264,2053,0,913.0,5.389999866485596,55077.0,0.6800000071525574
2026-01-08,45850,46400,45200,45500,18267,-1.7278617710583155,-525,-457,5523,-4541,0,3793.0,16.290000915527344,54668.0,0.6700000166893005
2026-01-07,47250,47250,45600,46300,28096,-1.4893617021276595,-599,41,7106,-6548,0,3267.0,8.609999656677246,50804.0,0.6299999952316284
2026-01-06,47250,47350,46850,47000,12158,-0.5291005291005291,-428,207,4326,-4105,0,1498.0,9.220000267028809,48437.0,0.6000000238418579
2026-01-05,47100,47550,46700,47250,18124,0.2120890774125133,-526,-1661,3386,-1199,0,2792.0,10.619999885559082,46612.0,0.5699999928474426
2026-01-02,49150,49150,46000,47150,49155,-3.873598369011213,3044,67,6737,-9848,0,3356.0,4.900000095367432,45968.0,0.5699999928474426
2025-12-30,49550,49550,48700,49050,22214,-0.60790273556231,-63,61,1065,-1063,0,4004.0,12.960000038146973,42098.0,0.5199999809265137
2025-12-29,49100,49850,48450,49350,39301,-1.1022044088176353,-93,-905,10329,-9331,0,3234.0,5.949999809265137,39035.0,0.4799999892711639
2025-12-26,50600,50800,49450,49900,62786,0.5035246727089627,2293,-1759,-10326,9792,0,2980.0,3.390000104904175,35683.0,0.4399999976158142
2025-12-24,49450,50100,49400,49650,44073,1.7418032786885245,4066,-954,-17123,14011,0,3087.0,4.929999828338623,30763.0,0.3799999952316284
2025-12-23,47550,48950,46700,48800,39821,2.845100105374078,1297,-776,-15658,15137,0,1232.0,2.369999885559082,27420.0,0.3400000035762787
2025-12-22,46500,47700,45850,47450,19182,3.040173724212812,336,-977,-9363,10004,0,805.0,3.039999961853028,21987.0,0.270000010728836
2025-12-19,46150,46350,44800,46050,25596,0.7658643326039387,6,12,929,-947,0,979.0,3.259999990463257,23207.0,0.2899999916553497
2025-12-18,46050,46200,45500,45700,18346,-1.5086206896551724,-1874,4,-1185,3055,0,1214.0,4.940000057220459,23227.0,0.2899999916553497
2025-12-17,46500,46900,45900,46400,17184,0.5417118093174431,-3898,96,-141,3943,0,627.0,2.940000057220459,23548.0,0.2899999916553497
2025-12-16,46950,47350,46050,46150,31354,-1.808510638297872,-15989,-112,4769,11332,0,1215.0,3.109999895095825,23548.0,0.2899999916553497
2025-12-15,47500,47500,46700,47000,14922,-1.0526315789473684,-4030,-103,4360,-227,0,1860.0,9.65999984741211,27014.0,0.3300000131130218
2025-12-12,48500,48500,46850,47500,12999,-1.2474012474012477,-1656,-75,5865,-4134,0,1668.0,8.319999694824219,27386.0,0.3400000035762787
2025-12-11,47050,48250,46800,48100,17568,3.2188841201716736,1843,820,-4656,1993,0,1439.0,4.829999923706055,25524.0,0.3100000023841858
2025-12-10,47700,47700,46600,46600,18403,-1.4799154334038054,-6416,159,4445,1812,0,1127.0,4.130000114440918,23360.0,0.2899999916553497
2025-12-09,47850,48250,46850,47300,27323,-1.4583333333333333,-9010,979,6339,1692,0,1415.0,3.869999885559082,25899.0,0.3199999928474426
2025-12-08,49100,49100,47450,48000,20091,-2.240325865580448,-2779,194,3524,-939,0,1371.0,4.960000038146973,26061.0,0.3199999928474426
2025-12-05,49900,50300,48400,49100,25186,-2.1912350597609564,-2076,140,14983,-13047,0,2842.0,7.730000019073486,23163.0,0.2800000011920929
2025-12-04,50500,51100,49000,50200,49281,0.1996007984031935,3315,3107,9539,-15961,0,5585.0,8.569999694824219,23056.0,0.2800000011920929
2025-12-03,49150,51100,49000,50100,57544,3.08641975308642,-8738,-1377,7839,2276,0,2850.0,3.119999885559082,22371.0,0.2800000011920929
2025-12-02,46950,48600,46800,48600,47096,4.854368932038835,-5525,931,-11427,16021,0,150.0,0.209999993443489,22371.0,0.2800000011920929
2025-12-01,47500,47500,46100,46350,19396,-1.2779552715654952,-7137,158,6977,2,0,219.0,0.8199999928474426,26760.0,0.3300000131130218
2025-11-28,46050,47500,46050,46950,28464,2.065217391304348,-1733,0,-3159,4892,0,680.0,1.75,25593.0,0.3100000023841858
2025-11-27,45200,46350,45200,46000,20331,1.8826135105204875,-1607,-1044,-9137,11788,0,567.0,2.2699999809265137,31458.0,0.3899999856948852
2025-11-26,44250,45350,43950,45150,62593,2.1493212669683257,-13084,-977,-6620,20681,0,1385.0,2.009999990463257,34137.0,0.4199999868869781
2025-11-25,46000,46000,43950,44200,21952,-1.9955654101995564,-3514,-151,6038,-2373,0,290.0,0.959999978542328,41948.0,0.5199999809265137
2025-11-24,45500,45550,44750,45100,14853,0.3337041156840934,-1604,-206,-1357,3167,0,62.0,0.3199999928474426,41010.0,0.5
2025-11-21,45700,45750,44500,44950,22208,-3.333333333333333,-1890,326,6016,-4452,0,188.0,0.6100000143051147,41273.0,0.5099999904632568
2025-11-20,47700,47700,46500,46500,20983,-1.795142555438226,-1369,-78,6360,-4913,0,1099.0,3.4800000190734863,37302.0,0.4600000083446502
2025-11-19,44450,47450,43450,47350,74823,5.339265850945496,28047,1103,-27212,-1938,0,1886.0,1.850000023841858,38236.0,0.4699999988079071
2025-11-18,45250,46500,44750,44950,46762,-1.9629225736095963,-3530,0,1262,2268,0,2349.0,4.269999980926514,41626.0,0.5099999904632568
2025-11-17,46400,46400,44650,45850,17349,0.6586169045005488,-1441,29,5394,-3982,0,528.0,2.109999895095825,32832.0,0.4000000059604645
2025-11-14,45400,46200,45200,45550,19339,-1.193058568329718,1105,-370,2857,-3592,0,1128.0,4.570000171661377,32169.0,0.4000000059604645
2025-11-13,46550,46550,45700,46100,13231,-0.7534983853606028,-514,-86,2197,-1597,0,1410.0,6.349999904632568,31583.0,0.3899999856948852
2025-11-12,45950,46650,45300,46450,26418,2.2002200220022003,-3445,-59,-6943,10447,0,594.0,1.5099999904632568,32149.0,0.4000000059604645
2025-11-11,45650,46100,45000,45450,27534,0.5530973451327433,-3096,897,-5342,7541,0,748.0,1.9700000286102293,33912.0,0.4199999868869781
2025-11-10,44800,45300,44200,45200,29671,2.262443438914027,-4021,84,-12945,16882,0,839.0,1.9600000381469729,35172.0,0.4300000071525574
2025-11-07,43700,45950,43500,44200,47811,-0.7856341189674524,11659,362,-5164,-6857,0,1651.0,2.6600000858306885,40208.0,0.4900000095367431
2025-11-06,44550,45100,43950,44550,35028,0.1123595505617977,-2250,-376,-12478,15104,0,374.0,0.7400000095367432,36884.0,0.449999988079071
2025-11-05,45500,45500,43800,44500,42740,-2.305159165751921,-7476,47,2277,5152,0,2354.0,3.829999923706055,41038.0,0.5
2025-11-04,45150,46000,45000,45550,34926,0.8859357696566998,-8079,380,-4640,12339,0,1038.0,2.069999933242798,35435.0,0.4399999976158142
2025-11-03,46400,46550,44900,45150,59319,-1.8478260869565213,-5132,-1174,476,5830,0,506.0,0.6100000143051147,36974.0,0.449999988079071
2025-10-31,47500,47500,46000,46000,58645,-2.953586497890296,-11551,391,20207,-9047,0,1917.0,2.609999895095825,40496.0,0.5
2025-10-30,47900,48950,47000,47400,61874,0.6369426751592357,-5673,565,278,4830,0,6141.0,7.03000020980835,38795.0,0.4799999892711639
2025-10-29,47450,47750,46500,47100,54798,-0.7376185458377239,-31305,179,15385,15741,0,897.0,1.2599999904632568,37117.0,0.4600000083446502
2025-10-28,47500,48150,47050,47450,32163,0.0,-5460,674,5467,-681,0,2269.0,4.96999979019165,41041.0,0.5
2025-10-27,47400,48300,46850,47450,25478,0.1054852320675105,-2955,795,-1591,3751,0,2740.0,7.230000019073486,37578.0,0.4600000083446502
2025-10-24,48200,48200,46750,47400,18443,-0.2105263157894736,56,-201,6273,-6128,0,2395.0,8.460000038146973,42026.0,0.5199999809265137
2025-10-23,47600,48500,47000,47500,30853,0.7423117709437964,-259,204,4358,-4303,0,2985.0,7.039999961853027,39645.0,0.4900000095367431
2025-10-22,46550,47300,45800,47150,28731,1.6163793103448276,-6840,61,-4169,10948,0,1860.0,4.78000020980835,38633.0,0.4799999892711639
2025-10-21,46450,47450,45800,46400,41631,0.0,-2011,-2288,2555,1744,0,2159.0,3.700000047683716,38371.0,0.4699999988079071
2025-10-20,46450,46500,45900,46400,26077,0.8695652173913043,-11660,69,-2812,14403,0,407.0,1.2100000381469729,37030.0,0.4600000083446502
2025-10-17,47350,47600,45950,46000,45555,-2.851108764519535,-11093,-198,9974,1317,0,1222.0,1.7400000095367432,41459.0,0.5099999904632568
2025-10-16,47350,48050,47200,47350,33499,-0.4206098843322818,-8146,-281,-1178,9605,0,599.0,1.25,36772.0,0.449999988079071
2025-10-15,47600,47700,47000,47550,21669,1.2779552715654952,-11607,-392,2748,9251,0,163.0,0.5400000214576721,42820.0,0.5299999713897705
2025-10-14,48500,48500,46900,46950,39945,-2.4922118380062304,5535,378,-111,-5802,0,2078.0,3.5299999713897705,46513.0,0.5699999928474426
2025-10-13,47100,48750,47000,48150,33548,0.9433962264150944,-6165,-133,-8512,14810,0,1038.0,2.4200000762939453,40028.0,0.4900000095367431
2025-10-10,48100,48650,47200,47700,51802,-2.553626149131768,-8581,-144,-1124,9849,0,2517.0,3.119999885559082,43828.0,0.5400000214576721
2025-10-02,50500,50500,48750,48950,54459,-2.002002002002002,-16971,45,31743,-14817,0,2630.0,3.7899999618530273,51323.0,0.6299999952316284
2025-10-01,49500,50000,49150,49950,17950,1.0111223458038423,-1284,-123,-3627,5034,0,470.0,1.7699999809265137,45038.0,0.550000011920929
2025-09-30,49250,49900,49100,49450,19022,-0.101010101010101,855,-65,-534,-256,0,1990.0,7.920000076293945,46509.0,0.5699999928474426
2025-09-29,49500,50100,48800,49500,45072,-0.1009081735620585,-879,-356,-271,1506,0,4112.0,6.900000095367432,46485.0,0.5699999928474426
2025-09-26,51200,51200,49250,49550,42347,-3.22265625,-3854,10,24280,-20436,0,7501.0,12.789999961853027,48414.0,0.6000000238418579
2025-09-25,50300,51700,49850,51200,58430,1.7892644135188869,1340,261,-9755,8154,0,4835.0,6.510000228881836,39418.0,0.4799999892711639
2025-09-24,50700,50900,49900,50300,26820,0.8016032064128256,-3872,120,2551,1201,0,1514.0,3.910000085830689,36792.0,0.449999988079071
2025-09-23,50100,50500,49500,49900,45582,-0.3992015968063871,-16023,-305,11437,4891,0,1826.0,2.7699999809265137,39994.0,0.4900000095367431
2025-09-22,51400,51500,50000,50100,44071,-1.7647058823529411,-16433,-851,12524,4760,0,1297.0,1.919999957084656,43418.0,0.5299999713897705
2025-09-19,51200,51300,50400,51000,26242,-0.5847953216374269,-4976,-488,8071,-2607,0,1163.0,2.559999942779541,46459.0,0.5699999928474426
2025-09-18,52300,52500,51000,51300,52609,-1.9120458891013383,-13279,-336,10522,3093,0,1431.0,1.7000000476837158,45686.0,0.5600000023841858
2025-09-17,52900,53000,51800,52300,38221,-1.1342155009451798,-7064,273,8140,-1349,0,1713.0,3.2699999809265137,48877.0,0.6000000238418579
2025-09-16,54400,54500,52600,52900,51193,-2.037037037037037,-21885,709,28027,-6851,0,5213.0,7.840000152587891,52950.0,0.6499999761581421
2025-09-15,54100,54500,53700,54000,19731,0.7462686567164178,1498,494,3094,-5086,0,2018.0,6.139999866485596,50151.0,0.6200000047683716
2025-09-12,53100,54000,53100,53600,27402,0.7518796992481203,922,-798,4423,-4547,0,3344.0,7.440000057220459,47102.0,0.5799999833106995
2025-09-11,53500,53500,52500,53200,26730,-0.1876172607879924,1614,625,-1683,-556,0,2461.0,6.570000171661377,45355.0,0.5600000023841858
2025-09-10,53500,53700,52700,53300,25705,0.3766478342749529,1931,-163,4719,-6487,0,1522.0,3.740000009536743,45633.0,0.5600000023841858
2025-09-09,52900,53600,52500,53100,24918,0.3780718336483932,4021,121,1160,-5302,0,1642.0,4.590000152587891,44775.0,0.550000011920929
2025-09-08,53100,53800,52000,52900,34595,0.0,-6342,228,9554,-3440,0,2203.0,4.5,41772.0,0.5099999904632568
2025-09-05,52400,52900,51500,52900,31592,1.147227533460803,-5545,-2264,3328,4481,0,641.0,1.4700000286102295,41358.0,0.5099999904632568
2025-09-04,51800,52600,51700,52300,59382,1.7509727626459144,-36660,-569,2526,34703,0,328.0,0.4600000083446502,46107.0,0.5699999928474426
2025-09-03,53200,53300,51100,51400,56694,-3.2015065913371,-29685,115,17124,12446,0,2556.0,3.509999990463257,65264.0,0.800000011920929
2025-09-02,51600,53100,51600,53100,23965,3.1067961165048543,2877,-1,-10025,7149,0,847.0,2.4600000381469727,74884.0,0.9200000166893004
2025-09-01,53400,54100,51300,51500,49222,-2.830188679245284,-19393,289,2468,16636,0,486.0,0.7300000190734863,83142.0,1.0199999809265137
2025-08-29,54200,54200,52700,53000,29361,-1.486988847583643,-16818,226,11291,5301,0,1563.0,3.940000057220459,94376.0,1.159999966621399
2025-08-28,54600,54600,52900,53800,25559,-0.9208103130755064,-8471,130,5158,3183,0,638.0,1.9600000381469729,99873.0,1.2300000190734863
2025-08-27,54200,54500,53600,54300,19100,0.929368029739777,976,140,-2441,1325,0,1206.0,4.079999923706055,103144.0,1.2699999809265137
2025-08-26,54000,54200,53400,53800,12883,0.0,-914,186,-1147,1875,0,1294.0,6.489999771118164,104002.0,1.2799999713897705
2025-08-25,53500,54500,53400,53800,20195,1.509433962264151,-2851,-122,-56,3029,0,671.0,2.190000057220459,106385.0,1.309999942779541
2025-08-22,54000,54300,52300,53000,47944,-2.214022140221402,-10816,287,10852,-323,0,452.0,0.6000000238418579,108686.0,1.340000033378601
2025-08-21,54800,55500,54200,54200,39389,-1.094890510948905,-105,709,-7030,6426,0,2189.0,4.159999847412109,109345.0,1.350000023841858
2025-08-20,53600,55100,52700,54800,51907,1.4814814814814816,5965,406,-4532,-1839,0,1543.0,2.039999961853028,104157.0,1.2799999713897705
2025-08-19,54200,55400,54000,54000,36802,-1.818181818181818,690,243,1520,-2453,0,4129.0,6.46999979019165,101904.0,1.25
2025-08-18,55200,55800,53800,55000,144054,-7.4074074074074066,-38716,202,32921,5593,0,4327.0,2.200000047683716,100708.0,1.2400000095367432
2025-08-14,58700,59500,58600,59400,36235,0.3378378378378378,-437,-201,-13708,14346,0,1599.0,4.010000228881836,89424.0,1.100000023841858
2025-08-13,57700,59200,57700,59200,48291,2.599653379549393,-3178,-1135,-12817,17130,0,1805.0,3.130000114440918,87107.0,1.0700000524520874
2025-08-12,59000,59300,57500,57700,53637,-2.2033898305084745,1410,-569,20854,-21695,0,8778.0,10.720000267028809,81307.0,1.0
2025-08-11,61700,61700,58800,59000,61682,-4.220779220779221,6846,631,9529,-17006,0,8073.0,9.43000030517578,65762.0,0.8100000023841858
2025-08-08,61000,62300,60000,61600,59654,1.9867549668874167,14700,319,-6765,-8254,0,6898.0,8.199999809265137,52096.0,0.6399999856948853
2025-08-07,60600,61100,59900,60400,39894,0.8347245409015025,1483,357,-535,-1305,0,756.0,1.2699999809265137,45438.0,0.5600000023841858
2025-08-06,60300,60500,58900,59900,37083,-0.9917355371900828,4110,384,11279,-15773,0,5528.0,9.890000343322754,47361.0,0.5799999833106995
2025-08-05,60500,60800,59600,60500,44198,2.7164685908319184,3027,-303,3991,-6715,0,4003.0,6.380000114440918,40968.0,0.5
2025-08-04,59500,59700,58400,58900,27098,-0.8417508417508417,1880,-1065,8558,-9373,0,3345.0,8.130000114440918,40895.0,0.5
2025-08-01,60300,60500,58500,59400,55841,-2.622950819672131,-1160,-420,7325,-5745,0,7231.0,9.25,39053.0,0.4799999892711639
2025-07-31,58900,62300,58500,61000,97032,4.810996563573884,-812,3089,-23780,21503,0,4865.0,3.220000028610229,34453.0,0.4199999868869781
2025-07-30,59100,59100,58100,58200,26857,-1.3559322033898304,-1607,-771,10410,-8032,0,2467.0,7.059999942779541,35609.0,0.4399999976158142
2025-07-29,57900,59300,57700,59000,20664,1.2006861063464835,1535,775,-6147,3837,0,1750.0,5.389999866485596,39245.0,0.4799999892711639
2025-07-28,59800,59800,57700,58300,48415,-2.016806722689076,974,129,21416,-22519,0,6758.0,10.510000228881836,40966.0,0.5
2025-07-25,58000,59800,57800,59500,32255,2.058319039451116,5980,346,-8254,1928,0,4182.0,9.539999961853027,37214.0,0.4600000083446502
2025-07-24,59100,59100,57700,58300,35271,-0.5119453924914675,-385,371,15210,-15196,0,3896.0,7.989999771118164,44259.0,0.5400000214576721
2025-07-23,59300,59400,58100,58600,21530,0.6872852233676976,3858,162,2839,-6859,0,1523.0,5.409999847412109,43519.0,0.5400000214576721
2025-07-22,59600,60100,58200,58200,38495,-1.6891891891891893,2392,-50,5445,-7787,0,4048.0,7.510000228881836,43912.0,0.5400000214576721
2025-07-21,60200,60200,58900,59200,24844,-1.1686143572621035,-2104,800,9787,-8483,0,3279.0,9.15999984741211,40664.0,0.5
2025-07-18,59500,60100,58700,59900,40891,1.5254237288135597,-5962,48,7498,-1584,0,2256.0,4.230000019073486,42414.0,0.5199999809265137
2025-07-17,59200,59500,58200,59000,31657,0.3401360544217687,-6100,152,6885,-937,0,1398.0,3.440000057220459,42182.0,0.5199999809265137
2025-07-16,59900,60000,58800,58800,49955,-2.6490066225165565,-13020,450,18998,-6428,0,3346.0,4.860000133514404,40541.0,0.5
2025-07-15,61100,61200,59600,60400,56122,-1.1456628477905073,-15774,109,28086,-12421,0,4698.0,6.079999923706055,42325.0,0.5199999809265137
2025-07-14,62800,63200,60100,61100,69010,-1.292407108239095,4622,247,15735,-20604,0,5273.0,5.380000114440918,37835.0,0.4699999988079071
2025-07-11,61800,63900,60900,61900,114754,0.6504065040650406,-6312,486,28744,-22918,0,8601.0,5.96999979019165,34842.0,0.4300000071525574
2025-07-10,60800,63100,60400,61500,124964,1.4851485148514851,2700,-29,5866,-8537,0,12986.0,7.880000114440918,33911.0,0.4199999868869781
2025-07-09,60300,60900,58900,60600,54568,1.3377926421404682,2553,32,-1127,-1458,0,6891.0,10.380000114440918,28284.0,0.3499999940395355
