일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-19,7580,7620,7290,7310,770179,-3.1788079470198674,-140733,1928,297273,-158468,0,312243.0,32.54999923706055,151107.0,0.17000000178813934
2025-12-18,7720,7740,7550,7550,336574,-2.8314028314028317,-2180,-21190,100079,-76709,0,39983.0,8.989999771118164,151107.0,0.17000000178813934
2025-12-17,7780,8140,7720,7770,663039,0.9090909090909091,18571,5973,238089,-262633,0,63572.0,6.769999980926514,151107.0,0.17000000178813934
2025-12-16,7690,7840,7630,7700,406303,-0.516795865633075,22512,1735,13018,-37265,0,79879.0,15.3100004196167,179861.0,0.20000000298023224
2025-12-15,7690,7760,7550,7740,427212,-0.5141388174807198,124912,294,27581,-152787,0,25242.0,4.449999809265137,175087.0,0.1899999976158142
2025-12-12,7830,7860,7630,7780,750060,0.1287001287001287,-226317,10681,222288,-6652,0,16931.0,1.8700000047683716,173968.0,0.1899999976158142
2025-12-11,7520,7970,7520,7770,833297,3.5999999999999996,-42985,3231,57053,-17299,0,34836.0,2.740000009536743,173796.0,0.1899999976158142
2025-12-10,7510,7560,7400,7500,332985,0.0,-11797,2704,12644,-3551,0,30161.0,7.260000228881836,193353.0,0.20999999344348907
2025-12-09,7540,7540,7420,7500,230881,-0.398406374501992,-19702,9247,80603,-70148,0,13398.0,3.9200000762939453,173594.0,0.1899999976158142
2025-12-08,7450,7550,7410,7530,235641,1.0738255033557047,40448,4849,-40097,-5200,0,14484.0,4.320000171661377,173672.0,0.1899999976158142
2025-12-05,7370,7460,7290,7450,255669,0.8119079837618403,32758,-1963,-9789,-21006,0,56658.0,15.84000015258789,194059.0,0.2199999988079071
2025-12-04,7590,7590,7360,7390,297194,-2.119205298013245,18272,-360,49347,-67259,0,23279.0,5.349999904632568,189671.0,0.209999993443489
2025-12-03,7630,7670,7530,7550,234220,-0.9186351706036744,2632,5209,53655,-61496,0,23639.0,6.829999923706055,187391.0,0.209999993443489
2025-12-02,7530,7650,7430,7620,356759,2.1447721179624666,14074,217,54143,-68434,0,59728.0,12.579999923706056,183381.0,0.2000000029802322
